R0001 J1,J2,J3,J4,J5,J6,J7
R0002 J8,J9,J10
R0003 J11,J12
R0005 I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18
R0006 J13
R0007 J14,J15
R0008 J16,J17,J18,J19,J20
R0009 H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13
R0010 G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15
R0011 F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16
R0012 H14,H15,H16,H17,H18,H19
R0013 E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13
R0014 G16,G17,G18,G19
R0015 D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D14,D15,D16,D17
R0016 E14,E15,E16,E17,E18,E19,E20
R0017 C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15
R0018 B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17
R0019 A1,A2,A3,A4,A5,A6
R0020 I19
